2020-02-10T13:42:39.979+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:40.152+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:42:46.388+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:42:46.392+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:42:46.401+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:46.402+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:46.402+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 To_verify_if_client_is_able_to_click_the_forgot_password_button_and_reset_the_credentials Testcase execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:42:46.402+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:46.403+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:46.543+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:42:51.029+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:42:51.030+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:44:31.269+1100 |[main]| INFO | Log | Closing the driver
2020-02-10T13:48:16.518+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:48:16.663+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:48:20.189+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:48:37.768+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:48:37.822+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:48:37.860+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:48:37.860+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:48:37.861+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:48:37.861+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:48:37.861+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:48:37.944+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:48:41.292+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:48:41.294+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:50:18.329+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:50:18.409+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:50:21.015+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:50:44.887+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:50:44.922+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:50:44.958+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:50:44.959+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:50:44.960+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:50:44.960+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:50:44.960+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:50:45.052+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:50:48.433+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:50:48.436+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:51:57.192+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:51:57.286+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:52:00.622+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:52:25.239+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:52:25.288+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:52:25.322+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:52:25.322+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:52:25.323+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:52:25.323+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:52:25.323+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:52:25.440+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:52:29.961+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:52:29.966+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:55:06.287+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:55:06.381+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:55:09.540+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:55:26.703+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:55:26.754+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:55:26.804+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:55:26.804+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:55:26.805+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:55:26.805+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:55:26.806+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:55:26.920+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:55:31.387+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:55:31.390+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:58:45.637+1100 |[main]| INFO | Log | invoking baseclass constructor
